problem,fig vertices,hole inside points
1,20,3836
2,39,3141
3,36,4036
4,43,5751
5,45,3938
6,39,25552
7,58,2941
8,13,3273
9,96,21446
10,58,4495
11,3,66
12,4,145
13,4,841
14,3,90
15,5,804
16,5,963
17,5,1765
18,5,654
19,3,2212
20,6,1610
21,7,1860
22,6,2240
23,6,2674
24,7,2418
25,7,3691
26,7,3407
27,4,1013
28,4,1093
29,4,1003
30,5,1678
31,5,2818
32,5,817
33,5,2283
34,9,3385
35,9,2580
36,5,900
37,6,2170
38,11,2342
39,9,5506
40,6,3901
41,12,1763
42,7,2722
43,13,3849
44,6,3916
45,6,2956
46,12,4980
47,11,1558
48,8,4061
49,13,1199
50,9,4154
51,13,2067
52,14,4488
53,16,8650
54,13,2172
55,20,2987
56,11,4356
57,12,7228
58,12,5507
59,18,7573
60,36,5397
61,15,10918
62,60,21612
63,39,11102
64,92,44359
65,58,27552
66,12,5792
67,20,945
68,99,56420
69,34,10068
70,58,2222
71,63,30499
72,49,28551
73,39,2495
74,137,42107
75,118,50137
76,73,43879
77,88,4131
78,113,14769
